Lyrics,Mood
"Nuestro atropello!!!\n\nPolución, radiación, h...  ",Sad
"Sue¸o de cristal, puro y esencial,\nsiento su ...  ",Happy
Barrio patrºn donde naces\nadolescencia en las...  ,Happy
"Siento caer la lluvia en mi, mojando las herid...  ",Sad
La balanza se rompe en un mundo incoherente\nL...  ,Sad
Triste y vacía\nfilosofía\nno deja de rezar\nt...  ,Sad
Buena señora la busco a la Rosa\nMe dicen que ...  ,Happy
"Imaginando volamos de verdad,\nnos podemos ele...  ",Happy
"Soledad sobre ruinas, sangre en el trigo rojo ...  ",Sad
"Combativo es sentirse, ser y ver\nque somos ca...  ",Happy
Cop Killer\n\nTengo mi camisa negra\nMis guant...  ,Sad
Criminales de raíces\ndevastaron la cultura.\n...  ,Sad
"El tiempo pasa riéndose,\ndesgasta vidas, sin ...  ",Sad
Cae el trueno de la guerra otra vez\ncon su ma...  ,Sad
"Dejar de ser, dejar de pelear. Voltear no ver\...  ",Sad
La tormenta esta en el horizonte\nquerido amig...  ,Sad
Dios!\nla injusticia que apu¸ala\nha infectado...  ,Sad
"Discriminación es matar!!!\n\nActo de maldad, ...  ",Sad
"Es mi compañera\nde pesadillas,\njunto a mi ca...  ",Sad
Ideando para destruir\napostando nuestro porve...  ,Sad
Llora el cielo indignado\nLimpia este suelo ma...  ,Sad
Fue lo que tenia y ahora tengo mas\nLa estrell...  ,Happy
"Dolor, pasión y vida.\n\nSangro y resisto al r...  ",Sad
Vamos a seguir fuerte hasta morir\nVamos a seg...  ,Happy
"Es momento de accionar.\nEl impulso de crecer,...  ",Happy
Eternidad\n\nLa pasión es premio a la eternida...  ,Happy
Familia esquina de barrio que fue\nLa cuna de ...  ,Happy
"Nada que ganar, caminando al borde\nDonde da m...  ",Sad
"un, dos tres, cua...\n\nDesato y sin esperanza...  ",Sad
"Siempre que sientas, que sientas,\ndisparas un...  ",Happy
Al fin y al cabo sé que a través del tiempo vo...  ,Happy
YA NO CALLAREMOS MAS\nGRITEMOS PARA NO OLVIDAR...  ,Sad
El látigo corta la libertad\nla mano que azota...  ,Sad
Somos salvajes perros hambrientos\nBuscando al...  ,Sad
Su cuerpo ya flaque y cay ya no se pudo alzar ...  ,Sad
"Sin razºn, sin poesýa,\nno hay otra cosa que y...  ",Happy
Vive su agonía\nmuertos en la gente\nnadie esc...  ,Sad
Siento el reloj temblar otra vez\nen la quietu...  ,Sad
"Juega con tu suerte\nSon tus ojos, que me llam...  ",Sad
"Latinoamérica, pareciera una herida abierta, v...  ",Happy
"Estando tan lejos de casa\nRecordamos el amor,...  ",Sad
Tan lamentable flojo presente\nTe pega abajo p...  ,Sad
"Hey, loco\nQue han de llevarte al manicomio\nP...  ",Happy
"Punta de lanza, patrones del pueblo se hiciero...  ",Happy
"Sólo sé que hay que seguir!!!\n\nAmbición, sin...  ",Sad
Recordás todo aquello\nde tus manos se escapo\...  ,Sad
Mi barrio siempre fue el testigo firme para mi...  ,Happy
Sin poder tomar decisión\nsin tener oportunida...  ,Sad
Si es porque estoy aquí\ndonde nací y crecí\ny...  ,Happy
Creo saber que el milagro es un hecho\nDe todo...  ,Happy
La angustia es confusión\nla culpa en mi se ha...  ,Sad
La noche vela a inocentes que jamas despertará...  ,Sad
Defender nuestro lugar!!!\nNo dejar de serNunc...  ,Happy
Corremos juntos como verdaderos\namigos fieles...  ,Happy
La razón se opone\nla paz y el dinero\nse estr...  ,Sad
"La unin hace la fuerza, el respeto ayuda\nA sa...  ",Happy
Es el momento de sacar con furia y escupir\nTo...  ,Sad
Me abrazo el latido\ninsaciable corazón\npreso...  ,Sad
"Fastidioso despierta un pueblo hoy,\nsin mas a...  ",Sad
GRITA EL PUEBLO CASTIGADO\nRECLAMANDO DIGNIDAD...  ,Sad
"Soñar, sentir, crear, soñar la ilusión realida...  ",Happy
"Sale de mi, sale de tu user\notra verdad, otra...  ",Happy
Tan importante es y su descarga\nserá más gran...  ,Sad
Aunque retuerzan tu lengua\nnunca podrán imped...  ,Sad
El tiempo se apodera de la realidad que hoy ve...  ,Sad
Deberás confiar en tu esfuerzo\nnadie peleará ...  ,Happy
Fuente de magica energa que genera\nTodo lo qu...  ,Happy
Sigue la vida que so¸as\nSigue la vida que que...  ,Happy
Peleando por su cultura\n\nDerramando sangre e...  ,Sad
"Sentí que se alejó de mi,\nnada pudo impedir s...  ",Sad
Usa toda tu fuerza ya!\ndedicado a contemplar\...  ,Happy
"Reacción, traición demuestran con sus actos\nc...  ",Sad
Vamos de pie y sin temores dispuestos a resist...  ,Happy
"La luna nos guýa yendo sobre hielo,\ndragones ...  ",Happy
"Esas imágenes vuelve al anochecer,\nCuando cie...  ",Sad
"No vale nada la vida,\nLa vida no vale nada.\n...  ",Sad
(Caballo)\nSobrevivir no es facil\nHoy todo es...  ,Happy
Ya no se\nque es lo que me esta pasando\npuede...  ,Happy
Yo ya no entiendo\nQue sucede en esta prepa\nS...  ,Sad
"Yo no sé, que será\nQue te volvio tan especial...  ",Happy
"Es el mejor lugar para mirar\n Te veo llegar, ...  ",Happy
Pasaron las 2 de la mañana\n La luna llena de ...  ,Happy
Hace cuanto te conozco \nPoco tiempo yo lo se ...  ,Happy
En la mirada\nAún se que asoma el alma\nAún pu...  ,Sad
"El tiempo se detiene, cuando me miras \nCuando...  ",Sad
Ella se llama teresa\n La más bonita del barri...  ,Sad
Soy un río desbordado \nSoy un mar que esta ag...  ,Happy
El relojito cucu sonaba\npapa besó mi frente\n...  ,Sad
Como me duele amor estar sin ti \nSaben las ho...  ,Sad
Me gustan tus manos como\nAceptan mi cuerpo el...  ,Happy
Que vivo de recuerdos\nQue muero sin su amor\n...  ,Sad
Sin tantas palabras de amor \nsin tantos detal...  ,Happy
Yo no presentí\nq en poko tiempo\ntu kisieras ...  ,Sad
"AMOR QUIERO HACERTE MÍA, ES UN DESEO QUE SALE ...  ",Happy
"Eres mi alma, Eres mi cielo \nEres mi vida, Mi...  ",Happy
"Yo no quiero reprocharte, tu silencio, ni tu o...  ",Happy
Yo no presentí\nq en poko tiempo\ntu kisieras ...  ,Sad
Rey de los dioses\nDestructor infernal\nConden...  ,Sad
Me encontraré al final\nA ver quién es quién e...  ,Sad
En las puertas de tu iglesia\nMiramos tu adora...  ,Sad
Es momento es la hora\nDe empezar a actuar\nNo...  ,Happy
El día se cae\nLa noche llega hay que empezar\...  ,Sad
I\nUna vieja y un viejito se fueron en un cohe...  ,Sad
"I\nMaleta en mano, la aduana lo espera\nUna so...  ",Sad
En profunda soledad\nEl oscuro espíritu\nForce...  ,Sad
"Camino lo caminado y lo no caminado\nAquí, aho...  ",Happy
Mil formas te hacen pensar\nEn la realidad\nQu...  ,Sad
Fuego padre creador\nElevad poder dentro de mí...  ,Sad
No basta creer\nNo basta admitir\nLo que hoy e...  ,Sad
Vi siete ángeles dueños\nDe instrumentos poder...  ,Sad
I\nLa lluvia ha de caer mezclada\nEn el odio d...  ,Sad
Esclava de tu vanidad\nSeñora de la maldad\nDa...  ,Sad
Cuando las estrellas marquen el tiempo\nLos an...  ,Sad
En la obscuridad entrarás en acción\nTe transf...  ,Happy
Tus ojos sangrarán\nViendo a las estrellas mor...  ,Sad
INTRO\n¡Que disparen! ¡A mansalva!\n¡Hemos vue...  ,Happy
"I\nOdio, dolor, no siento el sol\nHas de impon...  ",Sad
I\nEs el estereotipo del propio perdedor\nEl b...  ,Sad
Es noche de ritual\nEs viernes santo\nNoche de...  ,Sad
Oscuridad estás presente en mi mente\nOscurida...  ,Sad
En medio de los gritos en la tierra devastada\...  ,Sad
Siempre he estado buscando una hoguera \nque m...  ,Sad
Siempre he estado buscando una hoguera \nque m...  ,Sad
Te voy a matar y vivire en masturbacion por si...  ,Sad
Tu llegaras al purgatorio por todas tus violac...  ,Sad
Se dice que el ansioso\nEsconde un alma en paz...  ,Sad
"Despacito\nPor favor\nSuavemente\nComo brisa, ...  ",Happy
"Estoy aquí, preparada
Con mi mano en el corazón
Mi voz, y mi alma
El deseo de tocar el sol

Pasión, total
Las banderas en las gradas parecen bailar
Tu y yo, sin mas
Y este sueño de un encuentro mundial

Gritaras por mi
Hay miedos por vencer, hay sueños por lograr
Me veras sentir
Y la costa mas rica nos vera brillar

Todo el mundo salta, nanananana
Y todo el mundo canta oheoha
Todo el mundo salta, nanananana
Y todo el mundo canta oheoha

Estoy aquí, que fortuna
La tribuna canta esta canción
La ilusion solo es una
Y enloquese a toda la fision

Pasión, total
Las banderas en las gradas parecen bailar
Tu y yo sin mas
Y este sueño de un encuentro mundial

Gritaras por mi
Hay miedos por vencer, hay sueños por lograr
Me veras sentir
Y la costa mas rica nos vera brillar

Todo el mundo salta, nanananana
Y todo el mundo canta oheoha
Todo el mundo salta, nanananana
Y todo el mundo canta oheoha

Pasión, total
Las banderas en las gradas perecen bailar
Tu y yo sin mas
Y este sueño de un encuentro mundial

Gritaras por mi
Hay miedos por vencer, hay sueños por lograr
Me veras sentir
Y la costa mas rica nos vera brillar

Todo el mundo salta, nanananana
Y todo el mundo canta oheoha
Todo el mundo salta, nanananana
Y todo el mundo canta oheoha",Sad
"En palabras simples y comunes yo te extraño
En lenguaje terrenal mi vida eres tu
En total simplicidad seria yo te amo
Y en un trozo de poesia tu seras mi luz, mi bien
El espacio donde me alimento de tu piel que es bondad
La fuerza que me mueve dentro para recomenzar
Y en tu cuerpo encontrar la paz

Si la vida me permite a lado tuyo
Creceran mis ilusiones no lo dudo
Y si la vida la perdiera un instante
Que me llene de ti
Para amar despues de amarte...vida

No tengas miedos ni dudas
(choro) este amor es demasiado bueno
Que tu seras mi mujer
(choro) yo te pertenezco todo entero
Mira mi pecho, lo dejo abierto
Para que vivas en el

Para tu tranquilidad me tienes en tus manos
Para mi debilidad la única eres tu
Al final tan solo se que siempre te he esperado
Y que llegas a mi vida
Y tu me das la luz del bien
Ese mundo donde tus palabras hacen su voluntad
La magia de este sentimiento que es tan fuerte y total
Y tus ojos que son mi paz

Si la vida me permite a lado tuyo
Creceran mis ilusiones no lo dudo
Si la vida la perdiera en un instante
Que me llene de ti para amar despues de amarte...vida 

No tengas miedos ni dudas
(choro) este amor es demasiado bueno
Que tu seras mi mujer
(choro) yo te pertenezco todo entero
Mira mi pecho lo dejo abierto
Para que vivas en el }Bis",Happy
"No puedo negarte un te quiero
que un dia fui tuyo
instantes felices no dejo
que el tiempo destruya
no puedo alejarme de ti
tampoco lo intento
hare de este dia en mi vida
un eterno momento
Ahora eres parte de mi
y de mi corta historia
tu tierna manera de amar
me la se de memoria
estas bien clavada en mi mente
y en mi cuerpo entero
y sabes que aun no te digo
que yo a ti te quiero

Quiero al beber tu veneno
embriagarme de suerte
quiero al momento de amar
estrecharme a la muerte
quiero entre sabanas blancas
hacerte el amor y suavemente
quiero correr por tu cuerpo
como agua caliente.

Ahora ya se tus deseos
tus miedos, tus sueños
ahora conozco tambien
tus defectos pequeños
estas bien clavada en mi mente
y en mi cuerpo entero
y sabes que aun no te digo
que no puedo y quiero

Quiero al beber tu veneno
embriagarme de suerte
quiero al momento de amar
estrecharme a la muerte
quiero entre sabanas blancas
hacerte el amor y suavemente
quiero correr por tu cuerpo
como agua caliente.

Lairara, lairara........

Quiero al beber tu veneno
embriagarme de suerte
quiero al momento de amar
estrecharme a la muerte
quiero entre sabanas blancas
hacerte el amor y suavemente
quiero correr por tu cuerpo
como agua caliente.",Happy
"Soy el milagro mas grande que le dio la naturaleza
soy el animal que piensa, soy orgullo de grandeza,
esa frase repetia una dulce vendedora, le daba mas energia
la ponia mas habladora, negro, comprame un segurito,
ya que le van a darle a guardar;
La verdad fue que la conoci, la verdad fue que ella a mi tambien
la verdad yo le voy a decir, la verdad en este cuento me fue bien,
deliciosa aventurera, encantaba una muchacha,
tu presencia me hizo comprender, porque el poeta canta a la mujer, tu sonrisa me hizo comprobar, proque un hombre abandona su hogar, La verdad fue que la conoci, la verdad fue que ella a mi tambien, la verdad yo le voy a decir,la verdad este cuento me fue bien.


Con su mirada me hablaba, ella queria conocerme
su sonrisa le acusaba, el deseo de conocerme,
pero mija a si son las cosas cuando van a suceder
aunque ud no tenga vista de alguna forma las ve,
negro, comprame un segurito, yal que, le van a darle a guardar
La verdad fue que me motivo, la verdad fue que me enamoro,
la que menos esperaba yo, la verdad este cuento me elogio.

Deliciosa aventurera, encantaba una muchacha,
tu presencia me hizo comprender, porque el poeta canta a la mujer, tu sonrisa me hizo comprobar, proque un hombre abandona su hogar, La verdad fue que la conoci, la verdad fue que ella a mi tambien, la verdad yo le voy a decir,la verdad este cuento me fue bien.",Happy
"Ahi me han contado que te han visto por ahi
caminado por las calles y al llorar
que tu risa esta perdida, que te sangran las heridas
y que preguntas por mi vida
y nadie te quiere contar
si pudiera enamorarte yo lo haria,
pero no puedo olvidar que hay otro amor,
que me vio jurar un dia,
que en su vida cuidaria,
que sola nunca estaria
y nunca le voy a fallar,

Ella tiene todo todo,
lo que a mi me hace falta
porque ella es mi locura,
ella es una aventura,
ella te lleva al cielo,
solo con un te quiero,
como un niño pequeño,
me miente y yo le creo,
tanto tiempo
esperando una llamada una sonrisa
aun conservo su perfume en mi camisa,
es la prueba del amor que yo le tengo
y han pasado tantas cosas en su vida
y en mi vida,
que ahora quiero dormir por siempre a su lado
para que siempre me brinde una sonrisa
Ella tiene todo todo,
lo que a mi me hace falta
porque ella es mi locura,
ella es una aventura,
ella te lleva al cielo,
solo con un te quiero,
como un niño pequeño,
me miente y yo le creo.

Si supiera que me coge el corazon,
tan solo con esa manera de hablar,
y si vieran su sonrisa,
todos se enamorarian de mi boca,
y en sus labios todos quisieran pensar,
su belleza me despierta otra pasion,
imponente como el beso de mama,
como sin medir distancias,
los adioses de mi vida,
como amarte mas no pude,
como una aventura mas,
porque sale de sus labios,
la palabra mas linda,
me dice te amo mucho
y se me olvida el mundo,
aqui lo tengo todo,
alli lo pierdo todo,
pero no importa nada,
porque la quiero mucho,
tanto tiempo esperando una llamada
una sonrisa,
aun conservo su perfume en mi camisa,
es la prueba del mamor que yo le tengo
y han pasado tantas cosas en su vida
y en mi vida
que hora quiero dormir por siempre
a su lado para que siempre me brinde una sonrisa.
Ella tiene todo todo,
lo que a mi me hace falta
porque ella es mi locura,
ella es una aventura,
ella te lleva al cielo,
solo con un te quiero,
como un niño pequeño,
me miente y yo le creo.",Sad
"Inebitablemente tu,
estas en mi vida,en mis sueños,
y no te das cuenta,
inebitablemente tu,
te sigues sonriendo,
desprecias mis dias
y marchitas mi alma
y yo como un loquito enamorado,
esperando que pases,
solo para elogiarte
y nunca dices nada, y tu,
y tu sabes muy bien que yo te amo,
vivo para quererte que me muero por verte,
y no se si me amas,
tu eres facil de querer,
y dificil de olvidar,
aunque sea dime mujer,
si algun dia me vas a amar(Bis)

Y que esto es una mamadera de gallo,
que me tiene, que me tienes,
y yo todavia sigo esperando,
que me quieres, que me quieres(Bis)

Definitivamente tu,
eres mi capricho,
lo que no consigo,
y porque eres tan dificil,
porque no quieres aceptar,
pues que eres cobarde,
pero cuando pases entonces no me mires,
yo quiero que te sinceres conmigo,
o solo quieres verme,
acabando mi suerte
y me quede sin nada,
porque si no te gusto por favor te pido,
no andes por mi camino
ya no jeugues conmigo,,
demuestra que me amas,
tienes novio no lo se
o sera esa la razon,
la que te aleja mujer de,
mi pobre corazon(Bis)

Y que esto es una mamadera de gallo,
que me tiene, que me tienes,
y yo todavia sigo esperando,
que me quieres, que me quieres(Bis)",Sad
"""Lo juro por mi""

Si alguna vez te sientes sola cuéntame
Y pegare la luna
Como un millón de estrellas a tu pared

Si alguna vez te diera frió avísame
Y el sol traeré a tu puerta
Pa' calentarte el alma
Se que lo haré

Por ti
Seria capaz de lanzármele al mar
Sin un salvavidas
Sin saber nadar
Llegaría hasta el cielo nadando por ti
Lo juro por mí

Por ti
Nada es imposible todo puede ser
Sintiendo tus manos tocando mi piel
Si para amarte tengo q morir
Por ti moriré
No se
Pero tienes algo q me hace vivir
Un fuego interior q se adueña de mí
No tengo remedio te tengo q amar

Por ti
Seria capaz de lanzármele al mar
Sin un salvavidas
Sin saber nadar
Llegaría hasta el cielo nadando por ti
Lo juro por mí

Si alguna vez sintieras miedo avísame
Y cojere una espada para cuidarte el alma
Juro q lo haré

Si necesitas compañía cuéntame
Y llevare unos guaros
Y si me das permiso te besare

Por ti
Haría una tormenta
Y peleo con el mar
Deseafio la brisa sin saber volar
Haría lo imposible por verte feliz
Lo juro por mí

Por ti
No tengo palabras para descifrar
Q hay un sentimiento q te quiero dar
Q si ahora no puedo y tengo q esperar
Espero por ti
No se
Pero tienes algo q me hace vivir
Un fuego interior q se adueña de mí
No tengo remedio te tengo q amar

Por ti
Seria capaz de lanzármele al mar
Sin un salvavidas
Sin saber nadar
Llegaría hasta el cielo nadando por ti
Lo juro por mí

Por ti
Nada es imposible todo puede ser
Sintiendo tus manos tocando mi piel
Si para amarte tengo que morir
Por ti moriré

Por ti
Haría una tormenta
Y peleo con el mar
Deseafio la brisa sin saber volar
Haría lo imposible por verte feliz
Lo juro por mí",Sad
"Las vacaciones se acercan y no quiero volver
a aquella ciudad, a donde te ame por primera vez
y luego en cada verano, volvia no mas por amarte
sin importarme que era un pecado,
porque ya alguien vivia por mi,
y a ti alguien te amaba tambien,
hoy pude leer en tu carta, que me quieres ver,
y al sentirte tan culpable te quise escribir
no es que me he vuelto un cobarde, pero es justo,
si me olvidas, yo mas no quiero engañar a esa mujer,
que por mi lo entrega todo no va a ser por ti,
y no quiero ilusionarme mas que ahora de tu vida,
Me lastima decirle asi, pero mas no quiero volver
que me amas lo puedo entender, pero sabes que,
no esta bien mi amor porque, engañarle me quema,
lastimarle me mata, si yo vivo es por ella
y tu angustia me atrapa, se que tuve olvido,
porque tambien me duele, yo tambien he querido
y hacer esto me hiere, pero es lo mejor.

La semana siguiente del verano aquel,
cuando a Dios jure que salias de mi,
sin volverte a ver, amarnos no era correcto
y sin embargo pecamos hoy te confieso no te he olvidado,
pero debemos renunciar, mi regreso no es lo mejor
cuando tu lees esta carta comprenderas,
que daña a quien nos ama no hay perdon de Dios,
lo nuestro es un imposible no somos justos si persistimos,
cuando termines rompela, sera lo mejor, no no me vuelvas
recuerdo que me dolera, lo siento tanto contigo,
no habra castigo, si lo olvidamos;

Me lastima decirle asi, pero mas no quiero volver
que me amas lo puedo entender, pero sabes que,
no esta bien mi amor porque, engañarle me quema,
lastimarle me mata, si yo vivo es por ella
y tu angustia me atrapa, se que tuve olvido,
porque tambien me duele, yo tambien he querido
y hacer esto me hiere, pero es lo mejor.",Sad
"Ahi tu crees que puedo vivir tranquilo
me encuentro triste y dolido y cansado de esperar
desde que tuve amores contigo, otra no me e conseguido
y ya no te espero mas,
y es muy triste que todo quede en la historia
que critiquen si yo no presento novia (Bis)
Yo se que algun dia encuentro a la chacha,
entre las mujeres que hay solteras,
a ver que salgan las candidatas,
porque yo quiero una novia novia,
ahi le dejo telefono y direccion,
porque quiero aliviar mi corazon,
y yo no quiero amar a larga distancia,
porque quiero que alguien clame mis ancias (Bis)

Yo veo a mis amigos contentos,
felices en todo momento y tienen a quien amar
y yo, a mis buenos sentimientos,
no les sacado provecho, no tengo felicidad
y es posible que un amor tan distanciado
se termine si no lo tengo a mi lado.

Yo soy el soltero del barrio,
aquel que a las fiestas va solito,
y voy pa evitar esos comentarios,
que estoy buscando una novia a gritos,
ahi le dejo telefono y direccion,
porque quiero aliviar mi corazon,
yo no puedo amar a larga distancia,
porque quiero que alguien calme mis ancias.",Happy
"Ay que te pasa
Aun no te has amañado con estos amores
O es que ya no tienes palabras para defenderte
O es que tienes compromisos no se
Por favor aclara tu corazón

Se me cansaron las alas
Y ya no me quedan fuerzas para luchar por tu amor
Se te nota en la mirada que en el fondo
Tú eres mala que jugarás con mi amor

Oye que pasó...
Solo quería enamorarme de unos ojos tan bonitos
Que me inspiraron pasión

No... tienes visión
Mucha gente por envidia,
Sin motivo y sin razones se mete en la relación

Y entonces quien te entiende a ti
Cuando me dijiste que yo te gustaba
Ay que estabas y que enamorada
Y un día de mentira un padre nos caso
Loca tienes que estar loca para que te aguante una mala jugada

Ay pero dime que es lo que pasa
Que tanto friegas cual es la vaina
Por que no te dejaí queré
Ay pero dime que te sucede
Que necesitas, que necesito
Pa robarme tu corazón (Bis)

No imaginas
El daño que me estas causando por tu desespero
Entrar despacito a tu cuerpo y decirte un te quiero
Que no te preocupe el que te dirán
Si es barrera pa ti, pa los dos

Que no te falten las ganas
Como diste el primer beso, como hicimos el amor

Se te nota en la mirada
Que en el fondo no eres mala
No me causes más dolor

Oye... que... paso
Por que esquivas mi mirada
Aprovechas que te insisto con lo orgulloso que soy

No tienes visión
Yo no soy el del problema
Mira que haces con tu vida
Toma ya una decisión

Y entonces quien te entiende a ti
Cuando me dijiste que yo te gustaba
Ay que estabas y que enamorada
Y un día de mentira un cura nos caso
Loca tienes que estar loca
Para que te aguante una mala jugada

Ay pero dime que es lo que pasa
Que tanto friegas cual es la vaina
Por que no te dejaí queré
Ay pero dime que te sucede
Que necesitas, que necesito
Pa robarme tu corazón 

Ay pero dime que es lo que pasa
Que tanto friegas cual es la vaina
Por que no te dejaí queré
Ay pero dime que necesitas, que necesito
Pa robarme tu corazón",Sad
